id_assessment,id_student,date_submitted,is_banked,score,code_module,code_presentation,assessment_type,date,weight,weak_student
1752,295741,18,0,38.0,AAA,2013J,TMA,19.0,10.0,True
1752,324282,18,0,38.0,AAA,2013J,TMA,19.0,10.0,True
1752,334333,18,0,36.0,AAA,2013J,TMA,19.0,10.0,True
1752,442442,19,0,39.0,AAA,2013J,TMA,19.0,10.0,True
1752,2065691,36,0,30.0,AAA,2013J,TMA,19.0,10.0,True
1752,2312620,26,0,11.0,AAA,2013J,TMA,19.0,10.0,True
1752,2456480,23,0,40.0,AAA,2013J,TMA,19.0,10.0,True
1753,1401935,61,0,25.0,AAA,2013J,TMA,54.0,20.0,True
1753,2065691,48,0,40.0,AAA,2013J,TMA,54.0,20.0,True
1753,2255601,58,0,38.0,AAA,2013J,TMA,54.0,20.0,True
1753,2456480,54,0,34.0,AAA,2013J,TMA,54.0,20.0,True
1753,2676809,95,0,36.0,AAA,2013J,TMA,54.0,20.0,True
1753,32885,75,0,30.0,AAA,2013J,TMA,54.0,20.0,True
1753,74372,54,0,18.0,AAA,2013J,TMA,54.0,20.0,True
1753,145130,54,0,37.0,AAA,2013J,TMA,54.0,20.0,True
1753,175991,116,0,28.0,AAA,2013J,TMA,54.0,20.0,True
1753,183947,54,0,33.0,AAA,2013J,TMA,54.0,20.0,True
1753,324084,59,0,35.0,AAA,2013J,TMA,54.0,20.0,True
1753,392756,54,0,25.0,AAA,2013J,TMA,54.0,20.0,True
1753,581129,54,0,15.0,AAA,2013J,TMA,54.0,20.0,True
1754,1942396,117,0,40.0,AAA,2013J,TMA,117.0,20.0,True
1754,2065691,85,0,37.0,AAA,2013J,TMA,117.0,20.0,True
1754,2312620,120,0,34.0,AAA,2013J,TMA,117.0,20.0,True
1754,2344901,130,0,35.0,AAA,2013J,TMA,117.0,20.0,True
1754,2369266,116,0,40.0,AAA,2013J,TMA,117.0,20.0,True
1754,2411661,122,0,40.0,AAA,2013J,TMA,117.0,20.0,True
1754,2456480,123,0,0.0,AAA,2013J,TMA,117.0,20.0,True
1754,205719,124,0,40.0,AAA,2013J,TMA,117.0,20.0,True
1754,268733,118,0,35.0,AAA,2013J,TMA,117.0,20.0,True
1755,32885,181,0,35.0,AAA,2013J,TMA,166.0,20.0,True
1755,106577,173,0,38.0,AAA,2013J,TMA,166.0,20.0,True
1755,175991,166,0,32.0,AAA,2013J,TMA,166.0,20.0,True
1755,281250,165,0,40.0,AAA,2013J,TMA,166.0,20.0,True
1755,293699,174,0,38.0,AAA,2013J,TMA,166.0,20.0,True
1755,306897,173,0,39.0,AAA,2013J,TMA,166.0,20.0,True
1755,339972,165,0,37.0,AAA,2013J,TMA,166.0,20.0,True
1755,368824,165,0,39.0,AAA,2013J,TMA,166.0,20.0,True
1755,404804,161,0,40.0,AAA,2013J,TMA,166.0,20.0,True
1755,969076,166,0,36.0,AAA,2013J,TMA,166.0,20.0,True
1755,2469673,187,0,30.0,AAA,2013J,TMA,166.0,20.0,True
1756,1976139,214,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,2278464,215,0,35.0,AAA,2013J,TMA,215.0,30.0,True
1756,2411661,215,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,2532302,212,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,2639449,215,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,2643002,215,0,25.0,AAA,2013J,TMA,215.0,30.0,True
1756,2669816,215,0,35.0,AAA,2013J,TMA,215.0,30.0,True
1756,70464,198,0,38.0,AAA,2013J,TMA,215.0,30.0,True
1756,146188,215,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,175991,239,0,35.0,AAA,2013J,TMA,215.0,30.0,True
1756,200860,217,0,33.0,AAA,2013J,TMA,215.0,30.0,True
1756,306107,215,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,333059,214,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,392756,215,0,38.0,AAA,2013J,TMA,215.0,30.0,True
1756,398552,215,0,40.0,AAA,2013J,TMA,215.0,30.0,True
1756,404804,194,0,30.0,AAA,2013J,TMA,215.0,30.0,True
1758,1839386,26,0,40.0,AAA,2014J,TMA,19.0,10.0,True
1758,2168833,19,0,24.0,AAA,2014J,TMA,19.0,10.0,True
1758,2474849,19,0,35.0,AAA,2014J,TMA,19.0,10.0,True
1758,396655,37,0,19.0,AAA,2014J,TMA,19.0,10.0,True
1758,447481,26,0,27.0,AAA,2014J,TMA,19.0,10.0,True
1758,481022,19,0,40.0,AAA,2014J,TMA,19.0,10.0,True
1759,24734,64,0,38.0,AAA,2014J,TMA,54.0,20.0,True
1759,95755,69,0,32.0,AAA,2014J,TMA,54.0,20.0,True
1759,147756,61,0,32.0,AAA,2014J,TMA,54.0,20.0,True
1759,235507,54,0,30.0,AAA,2014J,TMA,54.0,20.0,True
1759,243510,53,0,37.0,AAA,2014J,TMA,54.0,20.0,True
1759,275674,54,0,40.0,AAA,2014J,TMA,54.0,20.0,True
1759,334441,53,0,30.0,AAA,2014J,TMA,54.0,20.0,True
1759,348275,75,0,40.0,AAA,2014J,TMA,54.0,20.0,True
1759,369834,54,0,38.0,AAA,2014J,TMA,54.0,20.0,True
1759,388147,65,0,39.0,AAA,2014J,TMA,54.0,20.0,True
1759,442064,66,0,36.0,AAA,2014J,TMA,54.0,20.0,True
1759,468120,61,0,38.0,AAA,2014J,TMA,54.0,20.0,True
1759,533068,75,0,36.0,AAA,2014J,TMA,54.0,20.0,True
1759,574505,54,0,35.0,AAA,2014J,TMA,54.0,20.0,True
1759,642878,53,0,36.0,AAA,2014J,TMA,54.0,20.0,True
1759,852847,49,0,27.0,AAA,2014J,TMA,54.0,20.0,True
1759,2207874,120,0,38.0,AAA,2014J,TMA,54.0,20.0,True
1759,2273119,74,0,30.0,AAA,2014J,TMA,54.0,20.0,True
1759,2404408,60,0,37.0,AAA,2014J,TMA,54.0,20.0,True
1759,2436812,58,0,35.0,AAA,2014J,TMA,54.0,20.0,True
1759,2606802,54,0,29.0,AAA,2014J,TMA,54.0,20.0,True
1759,2694788,53,0,20.0,AAA,2014J,TMA,54.0,20.0,True
1760,2273119,116,0,35.0,AAA,2014J,TMA,117.0,20.0,True
1760,2540168,144,0,39.0,AAA,2014J,TMA,117.0,20.0,True
1760,2551932,132,0,40.0,AAA,2014J,TMA,117.0,20.0,True
1760,2694788,115,0,35.0,AAA,2014J,TMA,117.0,20.0,True
1760,141377,125,0,39.0,AAA,2014J,TMA,117.0,20.0,True
1760,277123,117,0,35.0,AAA,2014J,TMA,117.0,20.0,True
1760,328024,120,0,40.0,AAA,2014J,TMA,117.0,20.0,True
1760,334441,116,0,38.0,AAA,2014J,TMA,117.0,20.0,True
1760,396599,128,0,40.0,AAA,2014J,TMA,117.0,20.0,True
1760,396655,138,0,38.0,AAA,2014J,TMA,117.0,20.0,True
1760,418731,117,0,38.0,AAA,2014J,TMA,117.0,20.0,True
1760,488990,112,0,40.0,AAA,2014J,TMA,117.0,20.0,True
